Run,Sample,Layout
SRR1972605,G3797.3,PE
SRR1972606,G3799.2,PE
SRR1972607,G3808.2,PE
SRR1972608,G3809.2,PE
SRR1972609,G3811.2,PE
SRR1972610,G3821.3,PE
SRR1972611,G3821.5,PE
SRR1972612,G3838.2,PE
SRR1972613,G3845.2,PE
SRR1972614,G3850.2,PE
SRR1972615,G3851.2,PE
SRR1972616,G3851.4,PE
SRR1972617,G3855.2,PE
SRR1972618,G3869.2,PE
SRR1972619,G3875.2,PE
SRR1972620,G3880.3,PE
SRR1972621,G3881.2,PE
SRR1972622,G3881.3,PE
SRR1972623,G3881.6,PE
SRR1972624,G3882.2,PE
SRR1972625,G3882.4,PE
SRR1972626,G3886.1,PE
SRR1972627,G3889.1,PE
SRR1972628,G3889.2,PE
SRR1972629,G3892.2,PE
SRR1972630,G3900.3,PE
SRR1972631,G3906.2,PE
SRR1972632,G3907.2,PE
SRR1972633,G3907.3,PE
SRR1972634,G3907.4,PE
SRR1972635,G3909.2,PE
SRR1972636,G3910.2,PE
SRR1972637,G3910.3,PE
SRR1972638,G3911.4,PE
SRR1972639,G3911.5,PE
SRR1972640,G3913.1,PE
SRR1972641,G3913.3,PE
SRR1972642,G3915.2,PE
SRR1972643,G3917.1,PE
SRR1972644,G3926.2,PE
SRR1972645,G3934.2,PE
SRR1972646,G3935.2,PE
SRR1972647,G3936.2,PE
SRR1972648,G3936.3,PE
SRR1972649,G3938.3,PE
SRR1972650,G3949.1,PE
SRR1972651,G3950.1,PE
SRR1972652,G3951.1,PE
SRR1972653,G3951.2,PE
SRR1972654,G3952.1,PE
SRR1972655,G3952.2,PE
SRR1972656,G3953.1,PE
SRR1972657,G3958.1,PE
SRR1972658,G3958.2,PE
SRR1972659,G3958.3,PE
SRR1972660,G3962.1,PE
SRR1972661,G3962.2,PE
SRR1972662,G3962.3,PE
SRR1972663,G3966.1,PE
SRR1972664,G3972.1,PE
SRR1972665,G3973.3,PE
SRR1972666,G3974.1,PE
SRR1972667,G3984.1,PE
SRR1972668,G3991.2,PE
SRR1972669,G3991.3,PE
SRR1972670,G3997.1,PE
SRR1972671,G3997.2,PE
SRR1972672,G4008.1,PE
SRR1972673,G4008.2,PE
SRR1972674,G4010.1,PE
SRR1972675,G4010.3,PE
SRR1972676,G4011.1,PE
SRR1972677,G4024.2,PE
SRR1972678,G4028.1,PE
SRR1972679,G4028.4,PE
SRR1972680,G4032.2,PE
SRR1972681,G4033.2,PE
SRR1972682,G4033.3,PE
SRR1972683,G4034.2,PE
SRR1972684,G4034.3,PE
SRR1972685,G4073.1,PE
SRR1972686,G4074.1,PE
SRR1972687,G4079.1,PE
SRR1972688,G4086.1,PE
SRR1972689,G4086.2,PE
SRR1972690,G4086.3,PE
SRR1972691,G4088.1,PE
SRR1972692,G4088.2,PE
SRR1972693,G4088.3,PE
SRR1972694,G4088.4,PE
SRR1972695,G4095.2,PE
SRR1972696,G4095.3,PE
SRR1972697,G4096.1,PE
SRR1972698,G4105.1,PE
SRR1972699,G4110.1,PE
SRR1972700,G4110.2,PE
SRR1972701,G4116.1,PE
SRR1972702,G4118.1,PE
SRR1972703,G4121.1,PE
SRR1972704,G4121.2,PE
SRR1972705,G4122.1,PE
SRR1972706,G4124.1,PE
SRR1972707,G4125.1,PE
SRR1972708,G4127.2,PE
SRR1972709,G4131.1,PE
SRR1972710,G4132.1,PE
SRR1972711,G4133.1,PE
SRR1972712,G4135.1,PE
SRR1972713,G4141.1,PE
SRR1972714,G4144.1,PE
SRR1972715,G4146.1,PE
SRR1972716,G4147.1,PE
SRR1972717,G4150.1,PE
SRR1972718,G4151.1,PE
SRR1972719,G4187.1,PE
SRR1972720,G4188.1,PE
SRR1972721,G4190.1,PE
SRR1972722,G4192.1,PE
SRR1972723,G4193.1,PE
SRR1972724,G4200.1,PE
SRR1972725,G4201.1,PE
SRR1972726,G4202.1,PE
SRR1972727,G4204.1,PE
SRR1972728,G4209.1,PE
SRR1972729,G4213.1,PE
SRR1972730,G4216.1,PE
SRR1972731,G4217.1,PE
SRR1972732,G4220.2,PE
SRR1972733,G4221.1,PE
SRR1972734,G4235.1,PE
SRR1972735,G4236.1,PE
SRR1972736,G4238.1,PE
SRR1972737,G4250.1,PE
SRR1972738,G4251.1,PE
SRR1972739,G4252.1,PE
SRR1972740,G4253.1,PE
SRR1972741,G4254.1,PE
SRR1972742,G4255.1,PE
SRR1972743,G4263.1,PE
SRR1972744,G4264.1,PE
SRR1972745,G4286.1,PE
SRR1972746,G4287.1,PE
SRR1972747,G4288.1,PE
SRR1972748,G4295.1,PE
SRR1972749,G4299.1,PE
SRR1972750,G4300.1,PE
SRR1972751,G4301.1,PE
SRR1972752,G4312.1,PE
SRR1972753,G4312.2,PE
SRR1972754,G4316.1,PE
SRR1972755,G4322.1,PE
SRR1972756,G4323.2,PE
SRR1972757,G4324.1,PE
SRR1972758,G4325.1,PE
SRR1972759,G4328.1,PE
SRR1972760,G4329.1,PE
SRR1972761,G4330.1,PE
SRR1972762,G4332.1,PE
SRR1972763,G4333.1,PE
SRR1972764,G4334.1,PE
SRR1972765,G4337.1,PE
SRR1972766,G4338.1,PE
SRR1972767,G4342.1,PE
SRR1972768,G4345.1,PE
SRR1972769,G4346.1,PE
SRR1972770,G4347.1,PE
SRR1972771,G4348.1,PE
SRR1972772,G4350.1,PE
SRR1972773,G4368.2,PE
SRR1972774,G4380.1,PE
SRR1972775,G4382.1,PE
SRR1972776,G4388.1,PE
SRR1972777,G4389.1,PE
SRR1972778,G4406.1,PE
SRR1972779,G4415.1,PE
SRR1972780,G4416.1,PE
SRR1972781,G4419.1,PE
SRR1972782,G4422.1,PE
SRR1972783,G4423.1,PE
SRR1972784,G4424.1,PE
SRR1972785,G4431.1,PE
SRR1972786,G4433.1,PE
SRR1972787,G4437.1,PE
SRR1972788,G4438.1,PE
SRR1972789,G4439.1,PE
SRR1972790,G4440.1,PE
SRR1972791,G4441.1,PE
SRR1972792,G4445.1,PE
SRR1972793,G4450.1,PE
SRR1972794,G4453.1,PE
SRR1972795,G4454.1,PE
SRR1972796,G4455.1,PE
SRR1972797,G4457.1,PE
SRR1972798,G4458.1,PE
SRR1972799,G4465.1,PE
SRR1972800,G4466.1,PE
SRR1972801,G4527.2,PE
SRR1972802,G4683.1,PE
SRR1972803,G4698.1,PE
SRR1972804,G4701.1,PE
